Attendance,Study_Hours,Assignment_Score,Previous_Test_Score,Sleep_Hours,Participation_Level,Internet_Access,Extra_Classes,Parent_Education,Screen_Time,Projects_Completed,Stress_Level,Performance
98,9.9,95,87,8.6,High,Yes,Yes,Postgraduate,3.4,10,Low,Excellent
45,1.6,54,54,4.1,Low,Yes,No,Graduate,6.3,1,High,Poor
88,6.9,70,76,7.6,High,Yes,Yes,Postgraduate,3.8,8,Medium,Good
71,3.4,59,52,5.4,Medium,Yes,Yes,Graduate,6.8,4,High,Average
84,5.2,70,82,7.6,High,Yes,Yes,Postgraduate,4.4,8,Low,Good
77,6.8,74,75,6.7,Medium,Yes,Yes,Graduate,4.3,6,Low,Good
56,3.8,69,65,6.4,Medium,Yes,No,Graduate,5.6,4,High,Average
98,8.2,87,99,7.0,High,Yes,Yes,Postgraduate,1.8,7,Low,Excellent
55,2.3,37,55,5.6,Low,No,No,Graduate,7.8,2,High,Poor
71,6.4,78,79,7.1,Medium,Yes,Yes,Graduate,3.0,4,Low,Good
41,1.6,46,42,4.8,Low,Yes,No,School,7.5,1,High,Poor
82,5.7,70,75,7.8,High,Yes,Yes,Postgraduate,2.9,7,Low,Good
73,6.0,77,75,6.4,Medium,Yes,Yes,Postgraduate,4.5,7,Medium,Good
62,4.5,54,50,6.1,Low,Yes,No,School,7.3,4,Medium,Average
50,1.0,38,52,4.6,Low,No,No,School,7.0,0,High,Poor
55,2.0,50,31,4.9,Low,No,No,Graduate,7.1,0,High,Poor
61,2.2,62,62,6.8,Medium,Yes,No,School,6.1,3,High,Average
40,1.7,42,53,5.9,Low,No,No,School,8.4,0,High,Poor
96,7.4,100,94,7.0,High,Yes,Yes,Postgraduate,2.7,10,Low,Excellent
91,7.3,86,88,8.6,High,Yes,Yes,Postgraduate,2.8,8,Low,Excellent
58,4.8,62,59,6.1,Low,Yes,No,Graduate,6.7,3,High,Average
96,8.0,94,85,7.1,High,Yes,Yes,Postgraduate,2.8,10,Low,Excellent
93,8.6,100,98,7.9,High,Yes,Yes,Postgraduate,3.8,7,Low,Excellent
70,5.0,70,74,6.3,High,Yes,Yes,Graduate,5.3,6,Low,Good
86,7.6,93,94,7.9,High,Yes,Yes,Postgraduate,2.2,10,Low,Excellent
55,1.2,54,51,5.8,Low,Yes,No,School,8.0,0,High,Poor
79,6.3,76,74,7.5,High,Yes,Yes,Graduate,5.9,4,Low,Good
69,3.3,55,67,6.6,Medium,Yes,No,School,6.7,2,High,Average
62,4.2,63,52,6.6,Medium,Yes,No,Graduate,8.0,4,High,Average
42,2.1,38,55,5.2,Low,No,No,School,6.7,1,High,Poor
58,2.8,61,53,5.7,Medium,Yes,No,Graduate,4.8,2,High,Average
75,3.4,63,61,5.2,Medium,Yes,Yes,School,4.6,5,High,Average
71,3.5,51,53,6.9,Low,Yes,No,School,7.0,5,Medium,Average
71,2.6,70,56,5.7,Medium,Yes,Yes,Graduate,6.8,3,Medium,Average
83,5.1,74,78,7.8,High,Yes,Yes,Graduate,5.0,5,Low,Good
45,2.1,49,35,5.7,Low,Yes,No,School,7.1,0,High,Poor
85,8.9,85,95,7.6,High,Yes,Yes,Postgraduate,3.7,8,Low,Excellent
86,6.1,82,75,6.3,Medium,Yes,Yes,Postgraduate,3.8,7,Low,Good
88,5.9,73,85,7.4,High,Yes,Yes,Graduate,2.7,8,Medium,Good
50,1.1,38,36,4.7,Low,Yes,No,School,9.5,0,High,Poor
54,3.0,43,47,5.1,Low,Yes,No,School,6.5,2,High,Poor
92,9.1,85,98,8.8,High,Yes,Yes,Postgraduate,1.8,7,Low,Excellent
54,1.1,42,49,5.2,Low,No,No,Graduate,7.0,0,High,Poor
63,2.8,66,63,5.7,Low,Yes,Yes,School,6.1,2,High,Average
92,6.7,95,89,7.8,High,Yes,Yes,Postgraduate,3.3,9,Low,Excellent
72,4.5,56,67,6.8,Low,Yes,Yes,Graduate,4.4,5,Medium,Average
62,2.9,68,60,5.4,Low,Yes,No,School,5.0,3,Medium,Average
71,4.7,53,56,6.1,Medium,Yes,Yes,Graduate,5.1,4,High,Average
40,2.9,35,55,5.1,Low,Yes,No,School,7.5,2,High,Poor
86,9.5,98,93,7.1,High,Yes,Yes,Postgraduate,3.2,8,Low,Excellent
90,8.1,100,99,8.2,High,Yes,Yes,Postgraduate,3.6,8,Low,Excellent
60,2.2,35,51,4.5,Low,No,No,Graduate,9.6,1,High,Poor
86,6.2,72,76,7.7,High,Yes,Yes,Graduate,2.1,4,Low,Good
57,2.4,35,49,4.3,Low,Yes,No,Graduate,7.1,2,High,Poor
69,2.3,58,65,5.0,Low,Yes,No,School,6.9,5,High,Average
94,10.0,93,97,7.0,High,Yes,Yes,Postgraduate,3.0,7,Low,Excellent
76,6.7,83,79,7.8,Medium,Yes,Yes,Graduate,5.6,7,Low,Good
97,6.8,93,86,9.0,High,Yes,Yes,Postgraduate,2.4,8,Low,Excellent
81,5.3,72,77,7.2,Medium,Yes,Yes,Graduate,3.2,5,Medium,Good
41,1.4,36,41,4.0,Low,No,No,School,7.3,2,High,Poor
72,4.8,80,72,7.7,High,Yes,Yes,Postgraduate,3.0,8,Medium,Good
72,2.2,52,57,6.5,Medium,Yes,Yes,Graduate,4.2,3,Medium,Average
97,9.3,93,95,7.7,High,Yes,Yes,Postgraduate,3.0,9,Low,Excellent
85,6.5,79,85,6.3,Medium,Yes,Yes,Postgraduate,2.6,8,Medium,Good
93,8.1,98,96,7.5,High,Yes,Yes,Postgraduate,1.8,7,Low,Excellent
100,7.2,86,100,8.3,High,Yes,Yes,Postgraduate,2.0,8,Low,Excellent
65,4.0,62,51,7.0,Medium,Yes,No,School,5.6,3,High,Average
95,6.7,97,96,8.9,High,Yes,Yes,Postgraduate,3.1,7,Low,Excellent
48,2.2,52,45,5.6,Low,No,No,School,6.4,1,High,Poor
83,5.8,80,82,6.8,High,Yes,Yes,Graduate,3.3,7,Low,Good
71,5.1,74,84,6.7,Medium,Yes,Yes,Postgraduate,2.1,8,Low,Good
46,1.4,55,38,5.9,Low,No,No,Graduate,8.5,0,High,Poor
73,5.6,71,71,6.1,High,Yes,Yes,Postgraduate,3.6,5,Low,Good
78,5.7,82,77,6.2,High,Yes,Yes,Graduate,4.1,6,Medium,Good
61,3.4,62,54,6.3,Medium,Yes,No,Graduate,7.3,4,High,Average
